,period,fast_k_period,fast_d_period,selling_rsi,selling_stoch_rsi,buying_rsi,busying_stoch_rsi,buying_confirmed_pullish,buying_rsi_pullish,buying_macdhist,balance,profit,recorded_transaction,recommendation
0,17,3,3,70,70,25,5,10,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
1,17,3,3,70,70,25,5,10,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
2,17,3,3,70,70,25,5,10,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
3,17,3,3,70,70,25,5,10,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
4,17,3,3,70,70,25,5,10,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
5,17,3,3,70,70,25,5,10,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
6,17,3,3,70,70,25,5,10,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
7,17,3,3,70,70,25,5,10,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
8,17,3,3,70,70,25,5,10,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
9,17,3,3,70,70,25,5,15,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
10,17,3,3,70,70,25,5,15,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
11,17,3,3,70,70,25,5,15,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
12,17,3,3,70,70,25,5,15,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
13,17,3,3,70,70,25,5,15,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
14,17,3,3,70,70,25,5,15,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
15,17,3,3,70,70,25,5,15,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
16,17,3,3,70,70,25,5,15,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
17,17,3,3,70,70,25,5,15,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
18,17,3,3,70,70,25,5,20,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
19,17,3,3,70,70,25,5,20,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
20,17,3,3,70,70,25,5,20,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
21,17,3,3,70,70,25,5,20,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
22,17,3,3,70,70,25,5,20,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
23,17,3,3,70,70,25,5,20,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
24,17,3,3,70,70,25,5,20,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
